Año,Índice dedependencia,Índice deenvejecimiento,Índice deinfancia,Índice dejuventud,Índice de vejez,Población por área Urbana,Población Centros Poblados y Rural Disperso,Relación hombre-mujer,Población total-Hombres,Población total-Mujeres,Población Total
1985,73.56955719,9.687814713,36.22274017,32.24386597,4.16307354,283479,28478,90.65596008,148334,163623,311957
1986,72.45246124,9.844629288,35.30876541,32.10748291,4.20310545,284194,27861,89.89764404,147727,164328,312055
1987,71.31749725,10.05459213,34.53515244,31.86361885,4.255427837,285550,27368,89.31453705,147628,165290,312918
1988,70.16057587,10.39813709,33.81546783,31.48451424,4.347023964,287408,26991,88.85545349,147923,166476,314399
1989,69.02681732,11.05925465,33.04456329,30.91192436,4.540338039,289587,26689,88.49963379,148490,167786,316276
1990,67.75679016,11.64707565,32.26496506,30.29298019,4.686793327,291956,26428,88.24920654,149255,169129,318384
1991,66.52702332,12.2361536,31.55164337,29.6970787,4.826648712,294487,26191,88.03682709,150138,170540,320678
1992,65.32701874,12.89562702,30.82789612,29.09288979,4.981074333,297125,25978,87.85823059,151110,171993,323103
1993,64.16657257,13.63717651,30.08891678,28.4860363,5.153337479,299808,25748,87.70850372,152119,173437,325556
1994,63.18512726,14.48656654,29.57552338,27.88285255,5.356767178,305933,26637,88.19674683,155856,176714,332570
1995,62.31805801,15.43623066,29.02917862,27.32265282,5.587866783,311874,27361,88.63260651,159396,179839,339235
1996,61.48229218,16.35233498,28.44322968,26.83551788,5.803134441,317558,27876,88.9972229,162662,182772,345434
1997,60.73818588,17.33808327,27.7685318,26.43300819,6.040642738,323036,28218,89.30014801,165700,185554,351254
1998,60.03681564,18.29815483,26.89344597,26.17903137,6.275341034,327689,28451,89.36767578,168072,188068,356140
1999,59.36257935,19.18922997,25.76982307,26.11790657,6.50143528,331600,28582,89.31738281,169929,190253,360182
2000,58.81827545,19.98284149,24.76851463,26.12158966,6.70609808,336317,28366,89.41914368,172156,192527,364683
2001,58.51685715,20.79206276,24.10151291,26.09486961,6.923732281,340678,27996,89.53305054,174157,194517,368674
2002,58.45103073,21.60667801,23.66158676,26.09243011,7.157169342,344206,27603,89.65396118,175763,196046,371809
2003,58.57679749,22.42646217,23.36435127,26.13965034,7.407822609,347388,27135,89.89438629,177296,197227,374523
2004,58.83535004,23.21273994,23.13169098,26.2364769,7.662392139,351691,26298,89.96140289,179007,198982,377989
2005,59.66654205,24.17482567,23.24408531,26.41932297,8.016102791,358280,26745,90.09262085,182479,202546,385025
2006,59.25020981,24.9441967,22.60296059,26.35328484,8.199903488,359913,28494,90.18862152,184185,204222,388407
2007,58.85134125,25.71982384,21.98856735,26.29598045,8.385871887,361563,29261,90.22180176,185367,205457,390824
2008,58.49280548,26.51217651,21.46056366,26.23020935,8.577669144,363242,29557,90.22111511,186303,206496,392799
2009,58.22710419,27.39505768,21.03050232,26.15360069,8.798888206,365270,29689,90.17304993,187275,207684,394959
2010,58.08543396,28.46645737,20.76264763,26.02606773,9.072976112,368215,29736,90.13334656,188650,209301,397951
2011,58.11685181,29.86463356,20.67677879,25.81990814,9.433634758,373458,29727,90.07849884,191070,212115,403185
2012,58.27048111,31.53803635,20.72203255,25.54706001,9.86046505,380934,29716,89.97150421,194486,216164,410650
2013,58.40835571,33.20287704,20.72453117,25.28909111,10.2772541,386319,29726,89.84312439,196893,219152,416045
2014,58.53227234,34.79692841,20.66943359,25.06867981,10.67220688,389899,29808,89.76583862,198536,221171,419707
2015,58.64850998,36.34885025,20.6092701,24.85433388,11.04881573,392799,29916,89.70546722,199888,222827,422715
2016,58.83529663,38.01953506,20.57382965,24.62301064,11.4494791,395488,29789,89.63738251,201019,224258,425277
2017,59.07412338,39.810009,20.61593246,24.34467125,11.86652756,398993,29380,89.51957703,202342,226031,428373
2018,59.05143356,42.10468674,19.71098137,24.19343376,12.38251114,405234,29169,89.45075226,205107,229296,434403
2019,59.62917709,44.14676285,20.03333664,23.87677956,12.86495018,413273,27335,89.29387665,207844,232764,440608
2020,60.15420532,46.43566132,20.24826431,23.50412369,13.36919498,420933,25227,89.12617493,210254,235906,446160
2021,60.58885956,49.00056458,20.30524635,23.07709312,13.88904953,425181,24893,89.02174377,211967,238107,450074
2022,60.983181,51.75841522,20.29692459,22.61466599,14.413414,429450,24627,88.91694641,213719,240358,454077
2023,61.33256912,54.65534973,20.19127655,22.14304161,14.93144131,434006,24436,88.8239975,215654,242788,458442
2024,61.1553421,57.66875076,19.55219078,21.6438942,15.36097622,439707,24313,88.76950836,218207,245813,464020
2025,61.52372742,60.97600937,19.36907768,21.17099571,15.90609074,445389,24211,88.74977112,220805,248795,469600
2026,61.91618729,64.35473633,19.17451477,20.72272682,16.44835091,450756,24167,88.71612549,223263,251660,474923
2027,62.3485527,67.79401398,18.98823547,20.30244637,16.9900322,455773,24179,88.69152832,225594,254358,479952
2028,62.81100082,71.27057648,18.81301498,19.91163063,17.52844238,460341,24220,88.66773224,227728,256833,484561
2029,63.29626465,74.71322632,18.64900589,19.55748749,18.05544281,464462,24338,88.6399231,229682,259118,488800
2030,63.80263901,78.07788849,18.5013485,19.24398041,18.5679493,468094,24486,88.61162567,231419,261161,492580
2031,64.31237793,81.32814789,18.36947632,18.96816444,19.06168938,471441,24685,88.58513641,233048,263078,496126
2032,64.83440399,84.31786346,18.26017761,18.74503326,19.52413177,474678,24873,88.56246948,234625,264926,499551
2033,65.34310913,87.10310364,18.13245201,18.56817818,19.96209526,477756,25072,88.53764343,236129,266699,502828
2034,65.82785797,89.67383575,18.0417881,18.41202927,20.36566734,480716,25263,88.52098083,237585,268394,505979
2035,66.26247406,92.07086945,17.95982742,18.26815033,20.73343658,483584,25444,88.51422882,239007,270021,509028
